uploaded_pdf_link,parsed_json_link,questions_answers_extracted,embeddings_created
./uploaded_pdfdocs/NIST RMF Categorize Step-FAQs.pdf,./json_parsedoutputs/NIST RMF Categorize Step-FAQs.json,./extracted_qa_pairs/NIST RMF Categorize Step-FAQs.csv,created
./uploaded_pdfdocs/ws2012_licensing-pricing_faq.pdf,./json_parsedoutputs/ws2012_licensing-pricing_faq.json,./extracted_qa_pairs/ws2012_licensing-pricing_faq.csv,created
